id,LOCATION,CLASS,LATITUDE,LONGITUDE,MAP,ELEV
1,Breckenridge Mountain,Summit,352704,1183503,Breckenridge Mountain,7510
2,Brown Peak,Summit,352904,1182526,Piute Peak,8074
3,Cold Spring,Spring,352801,1182349,Piute Peak,7985
4,Scodie Mountains,Range,353748,1180455,Walker Pass,7080
5,Morris Peak,Summit,354125,1175913,Owens Peak,7208
6,Steve Spring,Spring,353044,1182011,Woolstalf Creek,7395
7,Shirley Peak,Summit,354225,1183338,Alta Sierra,7087
8,Piute Peak,Summit,352704,1182330,Piute Peak,8405
9,Don Levy Mine,Mine,352451,1181736,Claraville,7182
10,Mack Meadow,Flat,353022,1182045,Woolstalf Creek,7234
11,Puerto del Suelo,Gap,344937,1191140,Sawmill Mountain,7680
12,Gwynnette Mine,Mine,352401,1181920,Claraville,7214
13,Frog Meadows Guard Station,Locale,355226,1183439,Tobias Peak,7631
14,Liebel Peak,Summit,353026,1182354,Lake Isabella South,8008
15,Covington Mountain,Summit,350053,1182828,Tehachapi South,7851
16,Camp Alto Campground,Locale,344957,1191219,Sawmill Mountain,8215
17,Alaska Flat,Flat,352952,1182126,Claraville,7513
18,Brush Mountain,Summit,345304,1191329,Eagle Rest Peak,7050
19,Owens Peak,Summit,354418,1175949,Owens Peak,8435
20,The George Lodge,Locale,352714,1182139,Claraville,7146
21,Tecuya Mountain,Summit,345032,1185853,Frazier Mountain,7152
22,Black Mountain,Summit,354430,1183125,Alta Sierra,7401
23,Breckenridge Fire Tower,Locale,352703,1183501,Breckenridge Mountain,7536
24,Piute Spring,Spring,352649,1182323,Piute Peak,8038
25,Tehachapi Mountain,Summit,350248,1182905,Tehachapi South,7943
26,Frog Meadows Campground,Locale,355222,1183436,Tobias Peak,7549
27,San Emigdio Mountains,Range,345224,1191044,Sawmill Mountain,7487
28,Camp Mountain Meadows,Locale,354722,1183444,Tobias Peak,7103
29,Campo Alto Campground,Locale,344954,1191240,Sawmill Mountain,8172
30,Grouse Meadow,Flat,352434,1182009,Claraville,7014
31,McGill Campground,Locale,344856,1190557,Cuddy Valley,7346
32,Escapula Peak,Summit,345150,1190412,Cuddy Valley,7096
33,San Emigdio Mountain,Summit,345224,1191044,Sawmill Mountain,7487
34,Double Mountain,Summit,350200,1182912,Tehachapi South,7976
35,Cummings Mountain,Summit,350230,1183418,Cummings Mountain,7743
36,King Solomons Ridge,Ridge,352937,1182539,Piute Peak,7595
37,Moreland Mill,Populated Place,353026,1182118,Woolstalf Creek,7743
38,KERO-TV,Tower,352714,1183540,Breckenridge Mountain,7477
39,Inmans,Populated Place,352542,1182106,Claraville,7408
40,Burton Mill,Locale,352605,1182341,Piute Peak,7611
41,Lone Star Mine,Mine,353024,1182121,Woolstalf Creek,7736
42,Grouse Mountain,Summit,344854,1191059,Sawmill Mountain,8573
43,Inspiration Point,Summit,353044,1182127,Woolstalf Creek,7825
44,Cerro Noroeste,Summit,344951,1191212,Sawmill Mountain,8284
45,Water Gap Spring,Spring,354718,1183510,Tobias Peak,7687
46,KBAK-TV,Tower,352711,1183528,Breckenridge Mountain,7533
47,Brown Meadow,Flat,352859,1182422,Piute Peak,7349
48,Bright Star Mine,Mine,353004,1182136,Woolstalf Creek,7588
49,Chula Vista Campground,Locale,344849,1190725,Cuddy Valley,8310
50,Mount Jenkins,Summit,354233,1175933,Owens Peak,7864
51,Sunday Peak,Summit,354657,1183510,Tobias Peak,8205
52,Piute Lookout,Locale,352848,1182133,Claraville,8291
53,Sawtooth Peak,Summit,354924,1175956,Ninemile Canyon,7989
54,Skinner Peak,Summit,353400,1180736,Cane Canyon,7073
55,Sorrell Peak,Summit,352503,1181721,Claraville,7638
