id,NAME,PERSON,LOCATION,SIGHTED
1,California flannelbush,Jennifer,Scodie Mountains,6/26/2006
2,Pale owls clover,Jennifer,Frog Meadows Guard Station,6/1/2006
3,Draperia,Jennifer,Steve Spring,9/23/2006
4,Sheltons violet,Jennifer,Covington Mountain,6/18/2006
5,One-seeded pussy paws,Jennifer,Scodie Mountains,5/29/2006
6,Ithuriels spear,Jennifer,Scodie Mountains,6/7/2006
7,Primrose monkeyflower,Jennifer,Bright Star Mine,5/19/2006
8,Yellow-and-white monkeyflower,Jennifer,Piute Peak,4/18/2006
9,Large false Solomons seal,Jennifer,Piute Lookout,6/27/2006
10,Showy Jacobs ladder,Jennifer,Grouse Meadow,6/27/2006
11,Douglas dustymaiden,Jennifer,Burton Mill,5/29/2006
12,Varied-leaved jewelflower,Jennifer,Breckenridge Mountain,5/27/2006
13,Death camas,Jennifer,Scodie Mountains,7/9/2006
14,Broad-seeded rock-cress,Jennifer,Double Mountain,6/16/2006
15,Diamond clarkia,Jennifer,Puerto del Suelo,6/20/2006
16,Leopard lily,Jennifer,Burton Mill,7/25/2006
17,Torreys lomatium,Jennifer,Puerto del Suelo,9/21/2006
18,Alpine penstemon,Jennifer,Scodie Mountains,8/21/2006
19,Alpine sheep sorrel,Jennifer,Camp Alto Campground,6/15/2006
20,Woodland star,Jennifer,Mack Meadow,8/8/2006
21,Rangers buttons,Jennifer,Breckenridge Fire Tower,7/18/2006
22,Doves-foot geranium,Jennifer,The George Lodge,5/3/2006
23,Globe gilia,Jennifer,Puerto del Suelo,7/23/2006
24,Canyon dudleya,Jennifer,Moreland Mill,7/12/2006
25,Red mountain heather,Jennifer,The George Lodge,6/20/2006
26,Hartwegs wild ginger,Jennifer,Piute Lookout,5/18/2006
27,Snow plant,Jennifer,Scodie Mountains,6/9/2006
28,Alpine lewisia,Jennifer,Piute Lookout,5/25/2006
29,Cow parsnip,Jennifer,Liebel Peak,6/29/2006
30,Sierra daisy,Jennifer,Double Mountain,8/12/2006
31,Bridges gilia,Jennifer,Don Levy Mine,6/28/2006
32,Sierra Nevada rush,Jennifer,Gwynnette Mine,8/10/2006
33,Purple penstemon,Jennifer,Piute Lookout,6/30/2006
34,Mud sedge,Jennifer,Alaska Flat,5/17/2006
35,Showy milkweed,Jennifer,Sawtooth Peak,7/18/2006
36,Kings sandwort,Jennifer,Sorrell Peak,6/30/2006
37,Ithuriels spear,Jennifer,Double Mountain,8/20/2006
38,One-seeded pussy paws,Jennifer,Scodie Mountains,5/7/2006
39,Alpine sheep sorrel,Jennifer,Scodie Mountains,9/26/2006
40,Varied-leaved jewelflower,Jennifer,San Emigdio Mountain,5/26/2006
41,Primrose monkeyflower,Jennifer,Puerto del Suelo,7/11/2006
42,Rangers buttons,Jennifer,Sorrell Peak,5/8/2006
43,Leopard lily,Jennifer,Piute Lookout,7/27/2006
44,Torreys lomatium,Jennifer,Alaska Flat,5/13/2006
45,Tinkers penny,Jennifer,Campo Alto Campground,6/30/2006
46,Sheltons violet,Jennifer,Burton Mill,7/1/2006
47,Bridges gilia,Jennifer,Don Levy Mine,6/15/2006
48,Broad-seeded rock-cress,Jennifer,Scodie Mountains,6/26/2006
49,Sierra stonecrop,Jennifer,Alaska Flat,7/7/2006
50,Death camas,Jennifer,Alaska Flat,6/9/2006
51,Alpine penstemon,Jennifer,Burton Mill,5/21/2006
52,Showy Jacobs ladder,Jennifer,McGill Campground,6/3/2006
53,Butter and eggs,Jennifer,Don Levy Mine,6/29/2006
54,Sierra daisy,Jennifer,Breckenridge Fire Tower,5/20/2006
55,Douglas dustymaiden,Jennifer,Scodie Mountains,5/19/2006
56,Cow parsnip,Jennifer,Black Mountain,7/9/2006
57,Pale owls clover,Jennifer,Alaska Flat,7/11/2006
58,Woodland star,Jennifer,Bright Star Mine,6/22/2006
59,Cow parsnip,Jennifer,Puerto del Suelo,7/12/2006
60,Sierra stonecrop,Jennifer,Inspiration Point,6/3/2006
61,Sheltons violet,Jennifer,Campo Alto Campground,9/2/2006
62,Primrose monkeyflower,Jennifer,Mack Meadow,9/26/2006
63,Broad-seeded rock-cress,Jennifer,Alaska Flat,7/11/2006
64,Douglas dustymaiden,Jennifer,Black Mountain,6/7/2006
65,Ithuriels spear,Jennifer,Frog Meadows Campground,6/28/2006
66,Showy Jacobs ladder,Jennifer,Don Levy Mine,7/11/2006
67,Death camas,Jennifer,Don Levy Mine,6/24/2006
68,Leopard lily,Jennifer,Inmans,6/23/2006
69,Pale owls clover,Jennifer,Scodie Mountains,6/2/2006
70,California flannelbush,Jennifer,Puerto del Suelo,5/23/2006
71,Red mountain heather,Jennifer,Piute Lookout,6/29/2006
72,Woodland star,Jennifer,Owens Peak,8/17/2006
73,One-seeded pussy paws,Jennifer,Tehachapi Mountain,8/13/2006
74,Alpine columbine,Jennifer,Bright Star Mine,7/11/2006
75,Varied-leaved jewelflower,Jennifer,Piute Lookout,8/9/2006
76,Torreys lomatium,Jennifer,King Solomons Ridge,4/16/2006
77,Tinkers penny,Jennifer,Scodie Mountains,6/3/2006
78,Alpine penstemon,Jennifer,Piute Lookout,5/26/2006
79,Large-leaved lupine,Jennifer,Alaska Flat,6/18/2006
80,Rangers buttons,Jennifer,Scodie Mountains,7/21/2006
81,One-sided wintergreen,Jennifer,Alaska Flat,6/9/2006
82,Condensed phlox,Jennifer,Breckenridge Mountain,8/1/2006
83,Doves-foot geranium,Jennifer,Skinner Peak,5/25/2006
84,Globe gilia,Jennifer,Puerto del Suelo,6/12/2006
85,Diamond clarkia,Jennifer,Brush Mountain,6/16/2006
86,Canyon dudleya,Jennifer,Steve Spring,9/28/2006
87,Large false Solomons seal,Jennifer,Liebel Peak,6/25/2006
88,Hartwegs wild ginger,Jennifer,Sorrell Peak,8/27/2006
89,Alpine lewisia,Jennifer,Breckenridge Fire Tower,5/29/2006
90,Sierra Nevada rush,Jennifer,McGill Campground,7/29/2006
91,Bridges gilia,Jennifer,Liebel Peak,6/18/2006
92,Alpine sheep sorrel,Jennifer,Scodie Mountains,8/1/2006
93,Mud sedge,Jennifer,Brown Peak,7/18/2006
94,Alpine penstemon,Jennifer,Frog Meadows Guard Station,7/22/2006
95,One-seeded pussy paws,Jennifer,Alaska Flat,5/14/2006
96,California flannelbush,Jennifer,Lone Star Mine,5/9/2006
97,Canyon dudleya,Jennifer,Breckenridge Mountain,6/3/2006
98,Broad-seeded rock-cress,Jennifer,Burton Mill,5/28/2006
99,Woodland star,Jennifer,Scodie Mountains,6/14/2006
100,Rangers buttons,Jennifer,Bright Star Mine,7/22/2006
101,Butter and eggs,Jennifer,Piute Lookout,5/15/2006
102,Showy Jacobs ladder,Jennifer,Scodie Mountains,6/8/2006
103,Ithuriels spear,Jennifer,Covington Mountain,5/17/2006
104,Primrose monkeyflower,Jennifer,Steve Spring,6/1/2006
105,Sheltons violet,Jennifer,Piute Lookout,6/21/2006
106,Douglas dustymaiden,Jennifer,Grouse Meadow,5/6/2006
107,Pale owls clover,Jennifer,Don Levy Mine,7/15/2006
108,Torreys lomatium,Jennifer,Liebel Peak,5/19/2006
109,Death camas,Jennifer,Piute Lookout,5/7/2006
110,Alpine sheep sorrel,Jennifer,Chula Vista Campground,7/20/2006
111,Varied-leaved jewelflower,Jennifer,Burton Mill,7/8/2006
112,Leopard lily,Jennifer,Scodie Mountains,7/4/2006
113,Doves-foot geranium,Jennifer,Tehachapi Mountain,8/10/2006
114,Globe gilia,Jennifer,King Solomons Ridge,6/14/2006
